job_title,company_name,company_location,company_size,industry_stats,job_qualifications,job_skills,job_skills_1,job_type,work_hours,company_email,job_desc
Senior iOS Engineer,Flex AI,Indonesia,11-50 employees,"Technology, Information and Internet  11-50 employees   28 on LinkedIn","Cascading Style Sheets (CSS), JSON, Mobile Application Development, Model-View-Controller (MVC), Model-view-viewmodel (MVVM), Objective-C, Python (Programming Language), Swift (Programming Language), iOS, and iOS Development","Skills: JSON, Cascading Style Sheets (CSS), +8 more",Professional in English,Remote,Full-time,flex_ai_hrd@gmail.com,"We’re looking for a talented and experienced Senior iOS Engineer to join our fully remote team. In this role, you’ll help shape the next generation of mobile AI fitness products. You’ll collaborate closely with designers, product managers, backend developers, and AI specialists to deliver seamless, high-performance mobile experiences that empower users to improve their health and well-being."
DevOps Architect,SoftwareOne,"Pontianak, West Kalimantan, Indonesia","5,001-10,000 employees","IT Services and IT Consulting  5,001-10,000 employees   10,494 on LinkedIn","Build Automation, C (Programming Language), Container Orchestration, Containerization, DevOps, Microservices, Problem Solving, Python (Programming Language), Software Development, Test Automation",1 school alum works here,"Build Automation, C (Programming Language), Container Orchestration, Containerization, DevOps, Microservices, Problem Solving, Python (Programming Language), Software Development, and Test Automation",On-site,Full-time,softwareone_hrd@gmail.com,"We are currently seeking an experienced DevOps Consultant to develop enterprise-class DevOps solutions and lead delivery teams in customer workshops. In this role, you will collaborate with multiple stakeholders across client organizations to understand and articulate business requirements, and frame end-to-end cloud-based infrastructure, platform, and DevOps solutions. You will bring deep expertise in one or more public cloud providers (AWS, Azure, GCP), embedding these capabilities into hybrid or fully cloud-native DevOps environments."
Logistic Supervisor /Manager,LBM New Energy (AP) Pte Ltd,"Kendal, Central Java, Indonesia",11-50 employees,International Trade and Development  11-50 employees   8 on LinkedIn,"Customs Regulations, Export Administration, Inventory Management, Negotiation, Supervisory Skills, Team Management, and Teamwork","Skills: Export Administration, Team Management, +5 more",Commute to this job's location,On-site,Full-time,lbm_new_energy_ap_pte_ltd_hrd@gmail.com,"We are looking for a highly motivated and experienced Supply Chain & Logistics Executive to join our team, responsible for managing end-to-end supply chain operations and supporting the Indonesia National Single Window (INSW) system. The ideal candidate will strategically plan and manage all aspects of supply chain management, including procurement, vendor relations, warehouse management, logistics, and shipment/distribution. A key part of the role will be to develop and implement a production planning system that ensures timely and complete deliveries to customers, as well as identifying process bottlenecks and driving timely resolutions."
"Data Analyst, Business Intelligence",Shopee,"Jakarta, Indonesia","5,001-10,000 employees","Software Development  5,001-10,000 employees   45,692 on LinkedIn","Communication, Data Science, Data Visualization, Statistics, Bahasa Indonesia, Business Analysis, Dashboards",11 school alumni work here,"Analytics, Bahasa Indonesia, Business Analysis, Communication, Dashboards, Data Science, Data Visualization, Extract, Transform, Load (ETL), Interpersonal Skills, and Key Metrics",On-site,Full-time,shopee_hrd@gmail.com,"Shopee is looking for a dynamic and driven Data Analyst to support various business units in planning, strategizing, and accelerating business growth through data-driven decision-making. In this role, you will act as a key discussion partner to internal teams, simplifying complex data and analytics into clear, actionable insights that help shape business strategies and operational improvements."
Security Engineering Manager - DevSecOps,Traveloka,Jakarta Metropolitan Area,"1,001-5,000 employees","Software Development  1,001-5,000 employees   3,145 on LinkedIn","Communication, Good Clinical Practice (GCP), Independent Contributor, Project Management, Repositories, Security Assurance, Security Engineering, , Software Development, Technical Understanding, Technology Security",3 school alumni work here,"Communication, Good Clinical Practice (GCP), Independent Contributor, Oral Communication, Project Management, Repositories, Security Assurance, Security Engineering, Technical Understanding, and Technology Security",On-site,Full-time,traveloka_hrd@gmail.com,"The Security Engineer at Traveloka is responsible to ensure that Traveloka’s products, services, infrastructures, and business operations meet the high-security standards through control, verification, testing, design, monitoring, and implementation of technical security engineering and operation practices.
DevSecOps, an evolving practice, integrates development, security, and operations within the software development, deployment, and operational landscape. Positioned under the Information Security at Traveloka, the DevSecOps team serves as a central unit responsible for delivering security technology across all technology departments. However, DevSecOps transcends mere tool installation or the shift-left paradigm. It embodies the concept of 'shift-everywhere,' seamlessly weaving security into every stage of software and system engineering even before the development and after the deployment. Success in this role demands robust analytical, reasoning, and managerial abilities, crucial for comprehending our environment's unique requirements and crafting bespoke security solutions tailored to these needs."
Data & AI Engineering,Accenture Southeast Asia,"Jakarta, Jakarta, Indonesia","10,001+ employees","Business Consulting and Services  10,001+ employees   1,422 on LinkedIn","Analytical Skills, Communication, Data Engineering, Data Modeling, Data Governance, Data Lakes, Data Quality","Skills: Data Modeling, Data Governance, +8 more","Communication, Data Engineering, Data Governance, Data Modeling, Data Quality, Data Services, Data Warehousing, Good Clinical Practice (GCP), Google Cloud Platform (GCP), and Problem Solving",On-site,Full-time,accenture_southeast_asia_hrd@gmail.com,"The ideal candidate has strong experience with big data tools and frameworks, proficiency in cloud-native data services, and a solid grasp of data modeling and warehousing concepts. Familiarity with machine learning frameworks like TensorFlow or PyTorch and understanding of data compliance frameworks such as GDPR or CCPA is a plus. A problem-solving mindset, strong analytical skills, and the ability to work effectively in a collaborative, global environment are essential. Accenture provides extensive training opportunities and a dynamic environment to grow your technical and functional expertise. We are committed to fostering a diverse and inclusive workplace, welcoming applicants from all backgrounds."
Data Analyst,Traveloka,Jakarta Metropolitan Area,"1,001-5,000 employees","Software Development  1,001-5,000 employees   3,145 on LinkedIn","Analytical Skills, Communication, Data Analytics, Data Modeling, Data Visualization, Problem Solving, Statistics, Data Manipulation, Databases, Statistical Inference",3 school alumni work here,"Analytical Skills, Communication, Data Analytics, Data Manipulation, Data Modeling, Data Visualization, Databases, Problem Solving, Statistical Inference, and Statistics",On-site,Full-time,traveloka_hrd@gmail.com,"We are seeking a highly driven and analytical Data Analyst to help optimize our payment journey from booking to completion and uncover business opportunities through partnerships. This role requires strong business acumen to understand how promotions and partnerships—such as coupons—can directly impact revenue growth. You will be responsible for developing dashboards that go beyond reporting, delivering actionable insights that guide product and business strategy. Collaborating with cross-functional product and data teams, you will provide data context for key initiatives and answer tactical questions that influence product development. You will also be expected to build scalable, automated ETL pipelines and empower stakeholders with improved analytical tools and understanding."
Graduate Analyst Program - Artificial Intelligence & Data - Oct 2024 Intake,Deloitte,Jakarta Metropolitan Area,"10,001+ employees","Business Consulting and Services  10,001+ employees   437,408 on LinkedIn","Analytical Skills, Communication, Attention to Detail, Computer Science, Critical Thinking, Geospatial Intelligence, Metadata Management, Presentation Preparation, Presentations, Stressful Situations",2 school alumni work here,"Attention to Detail, Communication, Computer Science, Critical Thinking, Geospatial Intelligence, HUMINT, Metadata Management, Presentation Preparation, Presentations, and Stressful Situations",On-site,Full-time,deloitte_hrd@gmail.com,"Successful candidates must be able to start in October 2024, hold a degree in a quantitative or technical field (e.g., Computer Science, Engineering, Statistics), and demonstrate proficiency in at least one programming language. Familiarity with big data tools (e.g., Spark, Hive, Kafka), cloud platforms, and automation software (e.g., UiPath, BluePrism) is advantageous. Strong analytical skills, a passion for emerging technologies, and the ability to thrive in fast-paced, client-facing environments are essential. This role offers a launchpad for aspiring consultants eager to shape the future of data-driven business strategy in Southeast Asia."
P&ED Specialists - Health & Well-Being,Philip Morris International,"Surabaya, East Java, Indonesia","10,001+ employees","Tobacco Manufacturing  10,001+ employees   42,121 on LinkedIn","Analytical Skills, Communication, Bahasa Indonesia, Critical Thinking, English, Health Promotion, Insurance Policies, Office Administration, Public Health, Streams",4 school alumni work here,"Analytical Skills, Bahasa Indonesia, Communication, Critical Thinking, English, Health Education, Health Promotion, Insurance Policies, Public Health, and Streams",Hybrid,Full-time,philip_morris_international_hrd@gmail.com,"Philip Morris International (PMI) is seeking dynamic, purpose-driven individuals to join its People & Culture team as a P&ED Specialist – Health & Well-Being, based in Surabaya (also open to Jakarta). In line with PMI’s bold vision for a smoke-free future, this role is designed to enhance employee experience by co-creating holistic well-being programs across emotional, physical, and financial dimensions. You will collaborate with internal functions and external partners, curate engaging communications aligned with key life moments, manage and monitor budgets, and support compliance with local labor regulations and PMI practices.
Ideal candidates hold a bachelor’s (or D4) degree, with fluency in Bahasa Indonesia and English, and experience in benefit administration or office administration. Strong analytical and critical thinking, multitasking abilities, and knowledge of employee well-being or engagement strategies are highly desirable. This role offers fresh graduates the chance to work in a global, inclusive environment with continuous learning and career advancement opportunities in a company committed to innovation and societal impact"
"Senior Analyst, Key Account Management-Surabaya",Lazada,"Muarajawa, East Kalimantan, Indonesia","5,001-10,000 employees","Technology, Information and Internet  5,001-10,000 employees   20,756 on LinkedIn","Analytical Skills, Communication, Business Insights, Key Account Management, Key Accounts, Market Data, Negotiation, New Business Opportunities, Sales Target Management, Strategic Accounts","Skills: Negotiation, Communication, +8 more","Analytical Skills, Business Insights, Communication, Key Account Management, Key Accounts, Market Data, Negotiation, New Business Opportunities, Sales Target Management, and Strategic Accounts",On-site,Full-time,lazada_hrd@gmail.com,"A Key Account Manager endeavors to build and improve relationships with one of select priority sellers, with the goal of growing their business in a sustainable fashion. Likewise, by building one of the platform's top sellers, the Key Account Manager supports one of the leading pillars in commercial development."
Network Data Analyst,PT XL Axiata Tbk,"Jakarta, Indonesia","1,001-5,000 employees","Telecommunications  1,001-5,000 employees   2,827 on LinkedIn","Data Analytics, Data Modeling, Data Science, Data Visualization, Critical Thinking, Data Architecture, Data Models, Information Graphics, Presentations, Technical Proficiency",1 school alum works here,"Critical Thinking, Data Analytics, Data Architecture, Data Modeling, Data Models, Data Science, Data Visualization, Information Graphics, Presentations, and Technical Proficiency",On-site,Full-time,pt_xl_axiata_tbk_hrd@gmail.com,"Responsible for analyzing and optimizing network infrastructure, ensuring its reliability, security, and performance. This role plays a critical part in maintaining and improving network's efficiency and effectiveness/productivity."
Data & Analytics (Sharia),Prudential Indonesia (PT Prudential Life Assurance),"South Jakarta, Jakarta, Indonesia","1,001-5,000 employees","Insurance  1,001-5,000 employees   11,478 on LinkedIn",Analytics,2 school alumni work here,Analytics,Hybrid,Full-time,prudential_indonesia_pt_prudential_life_assurance__hrd@gmail.com,"Prudential is seeking a skilled Data Analyst to support its mission of being a partner for every life and protector for every future. The role involves gathering, cleaning, and maintaining data from various sources to ensure accuracy and integrity, while analyzing large datasets to uncover trends, patterns, and actionable insights that inform business decisions. You will create detailed reports and visualizations to present findings to stakeholders, develop predictive models, and collaborate with different departments to align data strategies with business needs. In addition, you will ensure compliance with relevant regulations and company policies regarding data handling.
Ideal candidates should possess proficiency in SQL, Python, R, and Excel, with a strong ability to interpret complex data and provide actionable insights. The role requires excellent communication skills to effectively present findings to both technical and non-technical audiences. Knowledge of the Insurance Agency or Bancassurance data is a plus. Prudential offers an inclusive environment where you can connect, grow, and succeed, with a strong commitment to equal opportunity and diversity."
"Domain Consultant - Cortex, Indonesia",Palo Alto Networks,Jakarta Metropolitan Area,"10,001+ employees","Computer and Network Security  10,001+ employees   16,345 on LinkedIn","Cortex, Customer Experience Management, Customer-Focused Selling, Cyber Threat Hunting (CTH), Embraces Change, High-Level Design, Level Design, Problem Finding, Security Information and Event Management (SIEM), Value Realization","Skills: Problem Finding, High-Level Design, +8 more","Customer Experience Management, Cyber Threat Hunting (CTH), Embraces Change, High-Level Design, Level Design, Palo Alto Networks, Problem Finding, Security Information and Event Management (SIEM), Systematic Approach, and Value Realization",On-site,Full-time,palo_alto_networks_hrd@gmail.com,"Palo Alto Networks is seeking a Domain Consultant for SOC Transformation to drive the success of our Cortex portfolio, an AI-powered security operations platform. As an expert in Security Intelligence, Automation, XDR, and Incident Response, you will collaborate with account teams to craft and present tailored technical solutions that address customers' critical business needs. You will lead Proof of Value (PoV) projects, helping clients validate the technical merits of our solutions, and ensure successful implementation to enhance their cybersecurity posture.

Your impact will be felt across various customer touchpoints, from practitioner to senior leadership, as you evangelize Palo Alto Networks' market-leading solutions. You will drive technical validation, oversee the documentation of high-level designs, and engage in critical conversations about industry trends, emerging threats, and competitive positioning. You will also support RFIs/RFPs, work with partners for effective service delivery, and ensure value realization for clients.

The ideal candidate has 4+ years of hands-on experience in SOAR, SIEM, and EDR/XDR, with proficiency in Unix/Linux, Windows, and scripting languages like Python. A strong problem-solving mindset, customer-facing experience, and expertise in threat hunting and cyber attack simulations will be essential. The ability to adapt quickly and stay on the cutting edge of the evolving Cortex portfolio is key to success in this role."
Data Architect,CIMB Niaga,"Tangerang, Banten, Indonesia","10,001+ employees","Banking  10,001+ employees   11,722 on LinkedIn",Databases and Hadoop,7 school alumni work here,Databases and Hadoop,On-site,Full-time,cimb_niaga_hrd@gmail.com,"A highly experienced Data Architect with over 10 years of expertise in Data Technology, Systems Development, and Data Engineering, specializing in financial services. Skilled in designing, optimizing, and maintaining enterprise data models and data architecture solutions to ensure efficient storage, processing, and integration for optimal reporting and analytics. Adept at enabling data-driven decision-making across the organization in alignment with the Bank’s strategic plan and enterprise data architecture vision.

With a strong background in defining raw, curated, and business data models, I have extensive experience in data pipeline automation, data virtualisation, and integration to support realtime capabilities, AI, and Machine Learning models. I have successfully led the development of MDM (Master Data Management) and EDP (Enterprise Data Platform) architectures, as well as managed large-scale data migration and governance projects.

My proficiency spans a wide range of technologies and platforms, including SQL Server, Oracle, Hadoop, Kafka, Snowflake, and AWS, ensuring smooth integration between on-premise and cloud-based solutions. I am experienced in designing and implementing data solutions that cater to structured and unstructured data, batch and streaming processes, and data visualization using tools like PowerBI and Tableau.

"
Search Quality Rater - Indonesia,RWS Group,Indonesia,"5,001-10,000 employees","Translation and Localization  5,001-10,000 employees   8,153 on LinkedIn","Communication, Teamwork, English, Online Research","Skills: Online Research, Communication, +2 more","Communication, English, Online Research, and Teamwork",Remote,Part-time,rws_group_hrd@gmail.com,"An enthusiastic and web-savvy Search Quality Rater with a keen interest in AI and a passion for online research. As a native Indonesian speaker with fluency in English, I am well-equipped to evaluate search engine responses and enhance the online search experience for global users. With a strong understanding of popular culture in Indonesia, I bring local insights that are crucial for assessing search relevance and accuracy in the region."
"Regional Domain Consultant - Cortex, Indonesia",Palo Alto Networks,Jakarta Metropolitan Area,"10,001+ employees","Computer and Network Security  10,001+ employees   16,345 on LinkedIn","Customer Experience Management, Cyber Threat Hunting (CTH), EDR, Embraces Change, High-Level Design, Level Design, Problem Finding, Security Incident Response, Security Information and Event Management (SIEM), Value Realization","Skills: Problem Finding, High-Level Design, +8 more","Customer Experience Management, Cyber Threat Hunting (CTH), EDR, Embraces Change, High-Level Design, Level Design, Problem Finding, Security Incident Response, Security Information and Event Management (SIEM), and Value Realization",On-site,Full-time,palo_alto_networks_hrd@gmail.com,"As a cybersecurity expert with extensive experience in security operations, I am deeply committed to enhancing and evolving security infrastructures through cutting-edge solutions. With over 5+ years of hands-on experience in SIEM, EDR, and XDR, I specialize in building and implementing secure, efficient solutions that meet customer business needs, from threat hunting to security incident response.

My expertise includes designing complex cybersecurity architectures, leading Proof of Value (PoV) projects, and collaborating closely with account teams to provide tailored recommendations on next-gen security platforms like Cortex. I am proficient in Unix/Linux systems and scripting languages such as Python and PowerShell, and have a strong ability to engage with clients across all levels, from technical practitioners to senior leadership."
Data Contributor,TransPerfect,"Bekasi, West Java, Indonesia","5,001-10,000 employees","Translation and Localization  5,001-10,000 employees   11,672 on LinkedIn","Data Entry, Email, Information Technology, and Spam Filtering","Skills: Data Entry, Spam Filtering, +2 more","Data Entry, Email, Information Technology, and Spam Filtering",Remote,Contract,transperfect_hrd@gmail.com,"As an eligible resident of Indonesia with a keen interest in contributing to technological advancements in anti-spam and email filtering, I am eager to participate in the Saturn Project. This initiative focuses on collecting recent corporate emails (post-January 1, 2021) to help improve email classification and filtering technologies.

I am well-equipped to provide high-quality submissions from my personal computer, ensuring that each email meets the project’s requirements, including valid corporate sender domains, detailed headers, and appropriate subject lines. I understand the distinction between time-sensitive and transactional emails and can efficiently prepare and submit up to 50 emails in the required .eml or .msg formats.

I value the opportunity to support the development of smarter, safer communication systems and appreciate the flexible, remote nature of this compensated project.

"
"Psychometrician, 2 Hour Learning (Remote) - $100,000/year USD",Crossover,"Denpasar, Bali, Indonesia","5,001-10,000 employees","IT Services and IT Consulting  5,001-10,000 employees   2,665 on LinkedIn","Artificial Intelligence (AI), Content Development, Educational Assessment, Educational Measurement, Generative AI, Item Response Theory, Psychometrics, Relevance, Rubrics, Test Design","Skills: Educational Measurement, Item Response Theory, +8 more","Artificial Intelligence (AI), Content Development, Educational Assessment, Educational Measurement, Generative AI, Item Response Theory, Psychometrics, Relevance, Rubrics, and Test Design",Remote,Full-time,crossover_hrd@gmail.com,"With a strong foundation in psychometrics and a passion for harnessing AI to transform education, I am excited by the opportunity to join 2 Hour Learning in revolutionizing how students experience assessments. I bring proven experience in designing standardized test content aligned with educational standards, and I’m eager to leverage generative AI to scale that impact further."
Advanced Analysis Engineer Level I (Contract Based),Worley,"Jakarta, Indonesia","10,001+ employees","Professional Services  10,001+ employees   43,383 on LinkedIn","Communication, Abaqus, Computational Fluid Dynamics (CFD), Computer Software Training, Computer-Aided Engineering (CAE), Finite Element Analysis (FEA), Mathematical Modeling, Presales, Presentations, Software Sales","Skills: Computational Fluid Dynamics (CFD), Computer-Aided Engineering (CAE), +8 more","Abaqus, Communication, Computational Fluid Dynamics (CFD), Computer Software Training, Computer-Aided Engineering (CAE), Finite Element Analysis (FEA), Mathematical Modeling, Modeling and Simulation, Presentations, and Software Sales",Hybrid,Full-time,worley_hrd@gmail.com,"We’re looking for candidates with at least three years of experience in engineering or software sales, backed by a Bachelor’s degree in Engineering, Computer Science, or a related field. Strong knowledge of FEA/CFD, consulting proposals, and technical reporting is important, as is a keen understanding of trends in the CAE industry. Experience in sectors like Oil & Gas, Defence, or Biomedical is a plus, along with programming skills in Fortran or Python. Excellent communication skills in English are required, and proficiency in other regional languages is an advantage."
Senior Database Engineer – (Product Support Team – PostgreSQL) (Bangkok based),Agoda,"Bali, Indonesia","5,001-10,000 employees","Software Development  5,001-10,000 employees   9,877 on LinkedIn","Data Modeling, Database Development, SQL, Data Architecture, Database Design, Databases, PostgreSQL, Query Optimization, Query Writing, Stored Procedures","Skills: Database Development, Stored Procedures, +8 more","Data Architecture, Data Modeling, Database Design, Database Development, Databases, PostgreSQL, Query Optimization, Query Writing, SQL, and Stored Procedures",Hybrid,Full-time,agoda_hrd@gmail.com,"We’re looking for candidates who are highly collaborative, detail-oriented, and passionate about database performance. A degree in Computer Science or a related field is required, and experience with GitLab, Docker, Agile methodologies, or NoSQL databases is a plus. MSSQL certification and familiarity with tools for handling unstructured data are also advantageous.

At Agoda, we embrace diversity and are proud to be an equal opportunity employer. You’ll thrive in a culture of experimentation, autonomy, and ownership—and join a mission-focused team that’s helping millions of people discover the world. This position is based in Bangkok, and relocation support is provided."
Software Engineer,PT Salam Pacific Indonesia Lines,"Surabaya, East Java, Indonesia","1,001-5,000 employees","Transportation, Logistics, Supply Chain and Storage  1,001-5,000 employees   1,289 on LinkedIn","Computer Science, JavaScript, Linux, Mobile Application Development, Mobile Applications, PHP, Programming, Relational Databases, SQL, and Web Applications",11 school alumni work here,Bachelor's Degree,On-site,Full-time,pt_salam_pacific_indonesia_lines_hrd@gmail.com,"We are looking for a passionate Software Engineer to join our team. The ideal candidate will be responsible for developing high-quality applications. They will also be responsible for designing and implementing testable and scale-able code.
"
.Net C# Developer,National Training Pty Ltd,Indonesia,11-50 employees,E-Learning Providers  11-50 employees   10 on LinkedIn,"ASP.NET Core, ASP.NET MVC, Amazon Web Services (AWS), C#, Entity Framework (EF) Core, GitHub, Microsoft SQL Server, and Vue.js","Skills: ASP.NET Core, Vue.js, +6 more",2+ years of work experience with ASP.NET Core,Remote,Full-time,national_training_pty_ltd_hrd@gmail.com,"This is a full-time remote role for a .Net C# Developer at National Training Pty Ltd. The .Net C# Developer will be responsible for back-end web development, software development, programming, and object-oriented programming on a daily basis.
"
Technical Recruiter,XYZ GOAT,Indonesia,11-50 employees,Software Development  11-50 employees   231 on LinkedIn,"Human Resources (HR), Interviewing, Negotiation, Networking, Onboarding, Recruiting, Screening, Social Media, Sourcing, and Technical Recruiting","Skills: Human Resources (HR), Networking, +8 more",Can start immediately,Remote,Full-time,xyz_goat_hrd@gmail.com,"We are currently looking for a part-time technical recruiter to join us on a contract basis. This is a flexible opportunity that allows you to continue your current full-time job while earning additional compensation based on successful hires.

In this role, you will be responsible for managing the full life-cycle recruitment process for a range of high-priority technical positions. You’ll collaborate closely with hiring managers to understand their needs, define recruitment strategies, and ensure smooth coordination throughout the hiring process. A key part of the role will involve sourcing and building relationships with top engineering talent, utilizing both direct sourcing methods and job advertising platforms. You'll also track and analyze key recruitment metrics to continuously improve performance and outcomes. As a recruiter at XYZ GOAT, you’ll serve as a passionate representative of our brand and culture in every interaction with candidates and internal stakeholders."
Electrical Engineer – Renewable Energy,WEnergy Global Pte Ltd,"Jakarta, Indonesia",11-50 employees,Renewable Energy Power Generation  11-50 employees   27 on LinkedIn,"AutoCAD, Control Systems Design, Electrical Design, Electrical Engineering, IEC, IEEE, PVSyst, Power Distribution, Power Generation, and Project Design","Skills: Control Systems Design, AutoCAD, +8 more",3+ years of experience in Engineering,On-site,Full-time,wenergy_global_pte_ltd_hrd@gmail.com,"The successful candidate will lead the design and engineering of PV power generation systems, including sizing and equipment selection (PV panels, inverters, mounting structures, switchgear, transformers, etc.), while considering cost, efficiency, and long-term operational requirements. Responsibilities include data analysis, on-site surveys, troubleshooting, stakeholder meetings, and coordinating with suppliers and contractors. The role also involves preparing regulatory documentation and ensuring compliance with technical standards. During project execution, the engineer will supervise installation and commissioning, manage contractors, communicate with stakeholders, ensure quality and safety compliance, resolve issues, and provide regular updates to the project team and clients. Applicants should hold a bachelor’s degree in electrical engineering, preferably with a focus on power systems, and have a minimum of three years’ experience in PV system design and project management. Proficiency in design tools such as AutoCAD, PVsyst, and PVSOL is required, with AutoCAD certification considered a plus. Candidates should be familiar with local and international standards (IEC, IEEE, NEC), possess strong problem-solving and communication skills in both English and Bahasa Indonesia, and be capable of working independently and within teams. A valid driver’s license and willingness to travel domestically and internationally are preferred."
Sales Engineer,AVSystem,"Jakarta, Indonesia",201-500 employees,Software Development  201-500 employees   192 on LinkedIn,"Customer Support, IP Networking, Internet Protocol Suite (TCP/IP), Linux, Networking, Post-Sales, Pre/Post Sales Engineers, Product Demonstration, Python (Programming Language), Sales Engineering, and Technical Support","Skills: Internet Protocol Suite (TCP/IP), Python (Programming Language), +9 more",Professional in English,Hybrid,Contract,avsystem_hrd@gmail.com,"We are seeking a dynamic Sales Engineer to join our team, acting as a key technical resource for our Sales Team. This role focuses on supporting pre-sales and post-sales customer support activities, ensuring technical success by addressing customer and channel partner needs, delivering product training, and managing project execution. The successful candidate will report to the Head of Sales and work closely with our Engineering and Product teams to provide critical feedback for product development.
"
Cloud Engineer,Deep Symbolics,"Jakarta, Indonesia",2-10 employees,IT Services and IT Consulting  2-10 employees   2 on LinkedIn,"Amazon Web Services (AWS), Ansible, Cloud Infrastructure, Continuous Integration and Continuous Delivery (CI/CD), Gitlab, IT Security Best Practices, Infrastructure as code (IaC), Jenkins, Python (Programming Language), and Terraform","Skills: Continuous Integration and Continuous Delivery (CI/CD), Cloud Infrastructure, +8 more",1+ years of work experience with Cloud Infrastructure,Hybrid,Full-time,deep_symbolics_hrd@gmail.com,"Join the dynamic and innovative team at Deep Symbolics Indonesia (DSI), an AI-driven technology startup dedicated to empowering businesses with cutting-edge solutions. We are looking for a Cloud Infrastructure & CI/CD Engineer with Security Expertise to help us build and maintain scalable, secure, and efficient cloud infrastructures. In this role, you will be responsible for designing, implementing, and optimizing cloud-based systems, as well as developing automated Continuous Integration/Continuous Deployment (CI/CD) pipelines. Your expertise will ensure that our systems are secure by design and compliant with industry best practices throughout the development lifecycle.

As a Cloud Infrastructure & CI/CD Engineer, you will work closely with cross-functional teams to architect and deploy cloud infrastructure solutions that are both cost-effective and scalable. You will develop and manage CI/CD pipelines to streamline testing, deployment, and monitoring processes, while ensuring that security measures such as encryption, access control, and vulnerability management are integrated at every stage. Additionally, you will utilize Infrastructure as Code (IaC) tools like Terraform or Ansible to automate infrastructure deployment, and collaborate with teams to enhance security awareness and continuous improvement. Your role will also involve creating detailed documentation to ensure compliance with regulatory standards.

At Deep Symbolics, we value continuous learning and offer an inclusive work environment. This role provides opportunities for professional growth through certifications, industry conferences, and exposure to innovative AI and cloud technologies. We are seeking candidates with at least 1 year of experience in cloud infrastructure and CI/CD, with a strong understanding of cloud platforms such as AWS, Azure, or GCP. Proficiency in scripting languages (e.g., Python, Bash) and experience in security best practices are also key components of this role.

We offer a competitive salary, flexible working conditions, and an inclusive workplace where every contribution is recognized. Join us to help businesses unlock their full potential through advanced AI and cloud technology solutions."
Senior Full Stack Cloud Developer (PHP/Laravel/VueJS/Docker/AWS-GCP/SQL),Tramigo,"Jakarta, Indonesia",51-200 employees,Telecommunications  51-200 employees   102 on LinkedIn,"Amazon Web Services (AWS), Cascading Style Sheets (CSS), Docker Products, Full-Stack Development, Google Cloud Platform (GCP), Laravel, MySQL, PHP, PostgreSQL, and Vue.js","Skills: PostgreSQL, MySQL, +8 more",Professional in English,Remote,Full-time,tramigo_hrd@gmail.com,"Tramigo is seeking a highly skilled Senior Full Stack Cloud Developer to join our development team. In this role, you will play a pivotal part in the growth and development of TramigoCloud UI while collaborating with the Mobile App UI team to ensure a seamless user experience across platforms. Your primary focus will be to design and develop VueJS components, optimize API endpoints, and contribute to the development of new features aimed at enhancing customer satisfaction. You will be working as part of a small, highly efficient team, and your work will have a direct impact on the success of Tramigo's IoT tracking, connectivity, and PTT technologies.

As a Senior Full Stack Cloud Developer, your responsibilities will include designing and building responsive VueJS components for both desktop and mobile interfaces, securing and optimizing API endpoints, and writing unit-testable code. You will be responsible for version control using Git, ensuring the repository is up to date, and continually improving features based on customer feedback. As part of your role, you will be expected to propose and develop enhancements to the existing features of the system to ensure scalability and improved performance.

Tramigo operates globally, and you will be working closely with a team of seven developers based in Asia, with the potential for future growth into a team leadership role based on experience and interest. This is an excellent opportunity for an individual who enjoys a hands-on approach to coding and is passionate about building scalable and high-performance systems."
Early Childhood Brain Training Coach,BrainFit Indonesia,"Jakarta, Indonesia",Loading job details,Lesson Training 1000+ employees,"Coaching, Cognitive Behavioral Therapy (CBT), Cognitive Neuroscience, Cognitive Science, Early Childhood Development, Education, Neuroscience, Psychology, Teaching, Working with Children","Skills: Cognitive Behavioral Therapy (CBT), Neuroscience, +7 more","Adaptability, Critical Thinking",On-site,Full-time,brainfit_indonesia_hrd@gmail.com,"Are you passionate about helping children reach their full potential? At BrainFit, we believe in transforming children’s lives by enhancing their learning capabilities, boosting performance, shaping behaviors, and increasing intelligence through evidence-based neuroscientific cognitive training programs. We invite you to join our dedicated team as a Brain Coach and make a meaningful impact on the next generation.

As a Brain Coach, you will work closely with children aged 3 to 18 years, guiding them through classes based on our scientifically proven training programs. Your primary role will be to ensure the highest level of customer satisfaction by delivering personalized brain fitness training, helping students achieve their cognitive goals, and maintaining strong communication with both the students and their parents. You will be expected to gain a deep understanding of BrainFit’s methodologies, conduct training sessions, manage client expectations, and contribute to the overall success of our programs."
